,Danceability,Energy,Valence,Tempo,Song ID,Date Added
202,0.883,0.547,0.562,125.97,2gcbR1MvDXmcCmbgTPzPfs,2019-08-17
203,0.619,0.974,0.701,131.963,0IbTukfZdB91gclEXUQZkH,2019-08-17
204,0.831,0.502,0.101,100.541,5ry2OE6R2zPQFDO85XkgRb,2019-08-17
205,0.745,0.642,0.226,179.974,1kBbgxAUc4HQv7cgIayIDH,2019-08-17
206,0.861,0.603,0.504,98.043,0FZ4Dmg8jJJAPJnvBIzD9z,2019-08-17
207,0.761,0.838,0.71,93.974,3AEZUABDXNtecAOSC1qTfo,2019-08-17
208,0.77,0.84,0.438,109.006,1nNO9WwooTDXOqmlx2XrXl,2019-08-15
209,0.671,0.939,0.529,129.023,4QNpBfC0zvjKqPJcyqBy9W,2019-08-14
210,0.409,0.595,0.152,93.48,1pyljdnXoCMK6KBchy8WCk,2019-08-11
211,0.561,0.741,0.776,139.001,3UjtIALeg72qmJiKPWBvM3,2019-08-10
212,0.591,0.831,0.705,144.084,3FM33HqRlV7J1QJoPOnd2u,2019-08-10
213,0.478,0.876,0.78,145.225,1Cr0L9EsOePPOAoXRTxo1p,2019-08-09
214,0.694,0.394,0.719,104.126,4gMgiXfqyzZLMhsksGmbQV,2019-08-09
215,0.644,0.939,0.861,106.031,28IEbk5a7twNTbUEvWslUb,2019-08-09
216,0.53,0.864,0.484,166.312,4TIJ7zSBNejpoIPaWpWRKc,2019-08-09
217,0.716,0.485,0.556,148.141,0YSTRuZ7elW9CEBfZJW5Js,2019-08-01
218,0.29,0.955,0.513,103.259,0PG3UGZeWW66wnD06zmhc0,2019-07-31
219,0.339,0.931,0.467,112.548,3asFGFY3uLjMDmML1p0tYm,2019-07-31
220,0.58,0.981,0.861,134.007,5XMjXjwCkJVmk0AHm7z8IV,2019-07-31
221,0.52,0.709,0.536,76.039,6urCAbunOQI4bLhmGpX7iS,2019-07-31
222,0.545,0.865,0.543,99.009,6ZOBP3NvffbU4SZcrnt1k6,2019-07-31
223,0.661,0.966,0.513,174.056,2P3jPtHJ17JDb6I0UY48dM,2019-07-28
224,0.534,0.941,0.229,125.216,7mZVjFc25EqEVzQnJAB3Od,2019-07-26
225,0.424,0.886,0.747,166.01,5eWS8cbR4OacwLXggG0wTS,2019-07-26
226,0.775,0.818,0.826,97.06,6vEL7E8TGzrxuxbrgdlkLL,2019-07-26
227,0.818,0.705,0.772,138.559,0d28khcov6AiegSCpG5TuT,2019-07-26
228,0.582,0.952,0.655,103.027,2Fs18NaCDuluPG1DHGw1XG,2019-07-25
229,0.572,0.778,0.54,168.073,0ydclOeBAOXAYJJOmMQfDx,2019-07-17
230,0.698,0.843,0.894,105.83,4BfRDZLIiznSnwU7DdDL9N,2019-07-16
231,0.975,0.711,0.815,110.621,0wbDgMuAoy7O7pL3a69uZx,2019-07-11
232,0.734,0.927,0.901,118.039,6mmtxbG5pzkrJ0BrSdg9uW,2019-07-11
233,0.759,0.605,0.64,121.049,0mjAU3yKR1QnXnHtjGJqTM,2019-07-05
234,0.362,0.934,0.73,172.463,1zLCRp9Co721leiKVD2dMY,2019-07-02
235,0.669,0.789,0.543,87.57,6cG99KcHVOlmQOiYcu6cjb,2019-06-27
236,0.68,0.559,0.137,202.006,63cd4JkwGgYJrbOizbfmsp,2019-06-24
237,0.874,0.902,0.309,134.954,5CrAp9FTRlsLVKxqPTUohv,2019-06-24
238,0.778,0.695,0.472,149.996,0jdso14vaFnpRazMLEZovF,2019-06-24
239,0.792,0.743,0.742,150.024,14mHfNsSHN0FbLftyjrV9g,2019-06-24
240,0.678,0.76,0.24,96.044,3EQ9QP2E7wjYQba8OSPBst,2019-06-23
241,0.428,0.945,0.549,102.627,2GUsSyup4CAuhNKYBNArMn,2019-06-20
242,0.633,0.421,0.621,109.162,3wLPATMU1MrWFdWLX5fSn7,2019-06-18
243,0.5,0.676,0.529,121.947,1OS1CHppoO1jLRvmveXvtr,2019-06-18
244,0.923,0.802,0.738,95.108,5AJfj6wlGtaWlhd71RAxTG,2019-06-18
245,0.862,0.689,0.364,83.964,2VIMXmWUIqhMqg6h5FOFPG,2019-06-15
246,0.404,0.852,0.482,174.319,3UNAMgNHKl0fWzbZaU0fDM,2019-06-09
247,0.642,0.777,0.413,96.986,3zmduBNsQ6BPDTZAkXzG5K,2019-06-09
248,0.853,0.981,0.595,118.193,2bCQHF9gdG5BNDVuEIEnNk,2019-06-09
249,0.495,0.856,0.803,154.033,7ewraUQ1M5KwLZoFnPyXZG,2019-06-09
250,0.446,0.239,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,2019-06-09
251,0.541,0.931,0.86,158.517,6DlPa2rrVK3BygXJ48WYo3,2019-06-09
252,0.834,0.777,0.865,129.984,1OUPXna2MCgAt3VNmXJBtg,2019-06-08
253,0.933,0.655,0.934,120.979,4l8obfskxYvHJDOUSIawQO,2019-06-06
254,0.584,0.833,0.324,140.013,1yf97yL1ll8FYXC27c9VTw,2019-06-05
255,0.585,0.564,0.137,113.003,7fBv7CLKzipRk6EC6TWHOB,2019-06-04
256,0.507,0.644,0.172,179.913,4cbdPT6uaBOgOQe3fLMofl,2019-06-04
257,0.663,0.712,0.48,122.014,1fh2TfUOtOoXEE8qQynYEC,2019-06-03
258,0.784,0.85,0.567,110.004,5U8hKxSaDXB8cVeLFQjvwx,2019-06-03
259,0.787,0.957,0.574,124.989,2UFPNhmmeE53DpxX7Sdma7,2019-06-02
260,0.82,0.745,0.579,124.992,3wGCJz3Ay0tLt3JdkjVzmB,2019-06-02
261,0.588,0.757,0.836,122.813,5up5uXChMJLKyuop9HwtCb,2019-05-31
262,0.613,0.873,0.392,129.989,7i9763l5SSfOnqZ35VOcfy,2019-05-31
263,0.734,0.637,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn,2019-05-31
264,0.645,0.713,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,2019-05-31
265,0.715,0.723,0.479,114.985,1s9xuJxhYM0LdVqksjegcg,2019-05-31
266,0.655,0.632,0.447,120.113,3bnVBN67NBEzedqQuWrpP4,2019-05-31
267,0.616,0.811,0.913,159.929,2P61EK6DMGyVyssLWS4fKy,2019-05-31
268,0.423,0.797,0.592,82.617,1lguQJjlNrIOoOylYVZN3M,2019-05-31
269,0.597,0.666,0.626,164.992,6GmkJJMe9U1tEcrJ3Hq3A1,2019-05-31
270,0.547,0.936,0.642,120.003,22OqansuvEMQu9W0EfiGTI,2019-05-31
271,0.715,0.838,0.497,120.007,4Oyl6oYSNeeZZP0OAxPVaU,2019-05-31
272,0.683,0.753,0.389,120.03,40sRwFjfrRnaTdYPJIg4CP,2019-05-31
273,0.77,0.706,0.527,115.011,7qxjGHW485TL8ciwkHD5MK,2019-05-31
274,0.565,0.437,0.217,96.132,5P3yUXUC9rZPJPNmYGKEAz,2019-05-31
275,0.766,0.92,0.938,144.073,3MktEQFErlU3BeJY1pFFU1,2019-05-31
276,0.829,0.886,0.777,115.056,5ygDXis42ncn6kYG14lEVG,2019-05-26
277,0.602,0.749,0.194,168.038,6FDAKmWbLd4J8jzrQrFVZJ,2019-05-23
278,0.751,0.897,0.482,119.97,2Xhd1kYKj2aee7JR3nIlRe,2019-05-23
